Location,y,x,N,P,K,pH
Aheri,y,76.5545525,104,23,106,6.98
Ahmadpur,y,76.5226052,125,28,125,6.77
Ajra,y,76.4305865,103,13,159,5.98
Akkalkot,y,76.1157275,63,9,159,8.14
Akkalkuwa,y,76.1075307,54,10,159,8.16
Akola,y,76.1154271,103,20,170,7.54
Akole,y,76.1131633,103,15,169,6.43
Akot,y,75.781889,103,17,166,7.26
Akrani,y,75.7170703,74,10,179,8.14
Alibag,y,75.7335002,85,21,184,7.27
Amalner,y,75.6751802,79,10,154,7.62
Ambad,y,75.7592645,95,9,198,5.26
Ambarnath,y,75.7423603,113,14,190,6.29
Ambegaon,y,75.7415808,76,9,151,5.83
Ambejogai,y,75.7647429,51,9,169,8.3
Amgaon,y,75.7777101,55,9,150,8.3
Amravati,y,75.7610739,113,13,183,6.52
Andheri,y,75.6676503,110,12,183,7.55
Anjangaon Surji,y,75.6487226,71,14,103,6.18
Ardhapur,y,75.9490978,53,6,191,8.18
Arjuni Morgaon,y,75.7549652,109,13,181,7.27
Armori,y,75.7904604,98,21,179,7.38
Arni,y,75.821414,69,12,125,7.46
Arvi,y,75.8728552,50,9,103,8.62
Ashti,y,75.8151054,59,8,160,8.21
Ashti,y,75.8224654,110,10,155,7.96
Atpadi,y,75.9004318,98,14,113,7.8
Aundha (Nagnath),y,76.0338804,113,13,193,7.01
Aurangabad,y,76.0362912,98,7,144,5.3
Ausa,y,76.013224,55,9,103,7.71
Babulgaon,y,75.2724231,95,13,160,6.38
Badnapur,y,75.2627602,99,21,110,7.45
Baglan,y,75.2512729,94,23,174,7.3
Balapur,y,75.3651702,115,23,150,7.01
Ballarpur,y,75.5105102,69,13,164,7.72
Baramati,y,75.5923399,74,9,187,8.07
Barshi,y,75.6312453,94,9,122,7.66
Barshitakli,y,75.5834502,113,17,191,6.36
Beed,y,75.6783986,69,17,194,7.95
Bhadgaon,y,75.6476497,103,15,144,7.74
Bhadravati,y,75.5908754,98,23,160,7.75
Bhamragad,y,75.7207502,77,11,166,8.13
Bhandara,y,75.7207775,126,11,175,7.94
Bhatkuli,y,75.6220508,65,7,198,8.08
Bhiwandi,y,76.1610103,103,10,169,7.78
Bhiwapur,y,76.1502151,69,14,154,7.84
Bhokar,y,75.7600054,54,17,162,7.84
Bhokardan,y,75.4466342,104,23,176,7.07
Bhor,y,75.4770153,54,13,124,7.8
Bhudargad,y,76.0955894,65,10,144,7.74
Bhum,y,76.0362912,103,11,150,6.85
Bhusawal,y,76.5925171,108,6,169,5.32
Biloli,y,76.0178479,85,10,171,5.14
Bodvad,y,14.3788712,103,21,198,7.03
Borivali,y,76.0159167,103,17,165,7.52
Brahmapuri,y,76.0225257,111,17,165,7.27
Buldana,y,76.0573729,85,9,159,5.08
Chakur,y,75.8580743,85,7,144,8.24
Chalisgaon,y,76.773405,71,10,149,7.74
Chamorshi,y,76.5640593,60,13,194,7.67
Chandgad,y,76.577282,79,13,195,7.33
Chandrapur,y,76.5614302,99,10,126,7.9
Chandurbazar,y,76.4642091,99,10,136,5.82
Chandur Railway,y,75.5923399,126,18,105,6.14
Chandvad,y,75.6098414,108,7,195,5.65
Chikhaldara,y,75.619669,98,7,154,5.65
Chikhli,y,75.5695554,74,9,198,7.66
Chimur,y,75.5500718,118,25,164,7.72
Chiplun,y,75.6503451,98,7,179,5.73
Chopda,y,75.6485724,125,24,199,7.23
Dahanu,y,75.665685,69,10,155,7.67
Dapoli,y,75.7207775,92,7,110,8.04
Darwha,y,75.9551808,99,14,162,7.6
Daryapur,y,75.9550718,107,13,173,7.74
Daund,y,75.9547245,115,21,199,7.29
Deglur,y,75.9469447,75,13,191,7.61
Deola,y,75.9528765,98,18,154,7.13
Deolgaon Raja,y,75.9488979,66,18,130,7.95
Deoli,y,75.9521818,103,18,160,7.51
Deoni,y,75.9568416,107,13,163,7.64
Deori,y,75.9545862,121,23,199,7.3
Desaiganj (Vadasa),y,75.9543696,109,19,103,6.8
Devgad,y,75.9547455,113,18,198,6.26
Dhamangaon Railway,y,76.0341752,115,33,103,7.46
Dhanora,y,76.1093116,94,7,169,7.87
Dharangaon,y,75.9434324,69,10,164,7.88
Dharmabad,y,75.9434733,87,21,176,6.95
Dharni,y,75.9428524,103,25,194,7.32
Dharur,y,75.9438515,66,9,168,7.91
Dhule,y,75.9446066,94,25,194,6.57
Digras,y,75.9445368,113,17,175,6.72
Dindori,y,75.9443759,91,9,191,7.65
Dodamarg,y,75.9449217,64,16,124,7.63
Erandol,y,76.0861856,74,9,169,5.92
Etapalli,y,76.0863868,74,10,180,7.8
Gadchiroli,y,76.0864377,98,18,171,7.18
Gadhinglaj,y,76.0092253,69,9,180,7.71
Gaganbawada,y,76.0106845,84,9,154,5.4
Gangakhed,y,76.01474,84,9,169,5.4
Gangapur,y,76.012208,66,15,195,7.8
Georai,y,75.8545476,98,10,154,6.33
Ghansawangi,y,76.0789865,64,17,194,7.57
Ghatanji,y,76.0989904,95,7,103,8.02
Gondiya,y,76.0639312,95,10,190,6.34
Gondpipri,y,75.995316,98,21,177,7.38
Goregaon,y,75.9954139,84,17,135,6.72
Guhagar,y,75.9963614,98,10,138,6.45
Hadgaon,y,75.995471,89,54,138,7.4
Hatkanangle,y,75.9444581,64,8,180,6.06
Haveli,y,76.0273955,105,17,118,7.32
Himayatnagar,y,75.9838,96,16,103,
